A;2;0;2;101;11;00C-06-21;6;6;A;141;NULL;NULL;NULL;NULL;NULL;C_ABET_HP5120-G_E1;3;10.50.0.117;1;2/0/17;113;NULL;NULL;109;1;A105;C;1;2;C_ABET_E1_2
A;2;0;2;101;11;00C-06-22;6;6;NA;142;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A105;C;1;2;NULL
A;2;0;2;101;11;00C-06-23;6;6;A;143;NULL;NULL;NULL;NULL;NULL;C_ABET_HP5120-G_E1;3;10.50.0.117;1;2/0/18;114;NULL;NULL;109;1;A105;C;1;2;C_ABET_E1_2
A;2;0;2;101;11;00C-06-24;6;6;NA;144;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A105;C;1;2;NULL
A;2;0;2;102;10;00C-05-09;5;5;NA;105;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A105;C;1;2;NULL
A;2;0;2;102;10;00C-05-10;5;5;NA;106;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A105;C;1;2;NULL
A;2;0;2;102;10;00C-05-11;5;5;NA;107;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A105;C;1;2;NULL
A;2;0;2;102;10;00C-05-12;5;5;NA;108;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A105;C;1;2;NULL
A;2;0;2;102;10;00C-05-13;5;5;NA;109;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A105;C;1;2;NULL
A;2;0;2;102;10;00C-05-14;5;5;NA;110;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;A105;C;1;2;NULL
